"year","month","anch_eggs_10m2","sard_eggs_10m2"
1992,1,NA,NA
1992,2,43.9933333333333,8.61
1992,3,NA,NA
1992,4,5298.53666666667,18.38
1992,5,NA,NA
1992,6,NA,NA
1992,7,1.31333333333333,14.2048066666667
1992,8,NA,NA
1992,9,NA,NA
1992,10,5.55691233333333,0
1992,11,NA,NA
1992,12,NA,NA
1993,1,381.94,0
1993,2,NA,NA
1993,3,NA,NA
1993,4,83.5866666666667,0
1993,5,NA,NA
1993,6,NA,NA
1993,7,NA,NA
1993,8,28.6,32.8366666666667
1993,9,NA,NA
1993,10,3329.22333333333,0
1993,11,NA,NA
1993,12,NA,NA
1994,1,NA,NA
1994,2,586.933333333333,10.7933333333333
1994,3,NA,NA
1994,4,1238.16666666667,0
1994,5,0,0
1994,6,NA,NA
1994,7,NA,NA
1994,8,26.04,0
1994,9,NA,NA
1994,10,184.296666666667,4.79
1994,11,NA,NA
1994,12,NA,NA
1995,1,988.933333333333,0
1995,2,NA,NA
1995,3,NA,NA
1995,4,7612.23333333333,0
1995,5,NA,NA
1995,6,NA,NA
1995,7,1167.81594666667,2.38666666666667
1995,8,NA,NA
1995,9,NA,NA
1995,10,1666.59882666667,1.16666666666667
1995,11,NA,NA
1995,12,NA,NA
1996,1,NA,NA
1996,2,3458.96839333333,29.8934293333333
1996,3,NA,NA
1996,4,57.7016993333333,0
1996,5,NA,NA
1996,6,NA,NA
1996,7,NA,NA
1996,8,246.173333333333,30.36
1996,9,NA,NA
1996,10,436.046666666667,0
1996,11,NA,NA
1996,12,NA,NA
1997,1,NA,NA
1997,2,1062.10963333333,0
1997,3,NA,NA
1997,4,16859.1615833333,0
1997,5,NA,NA
1997,6,NA,NA
1997,7,57,0
1997,8,NA,NA
1997,9,NA,NA
1997,10,8.37666666666667,1.19666666666667
1997,11,NA,NA
1997,12,NA,NA
1998,1,NA,NA
1998,2,232.33,0
1998,3,451.35,14.75
1998,4,260.553333333333,6.81333333333333
1998,5,0,0
1998,6,7.47,0
1998,7,38.7066666666667,0
1998,8,706.67,0
1998,9,287.486666666667,0
1998,10,6.06,0
1998,11,190.745,0
1998,12,0,0
1999,1,25.48,0
1999,2,NA,NA
1999,3,NA,NA
1999,4,0,0
1999,5,NA,NA
1999,6,NA,NA
1999,7,NA,NA
1999,8,23.775803,0
1999,9,NA,NA
1999,10,62.2997906666667,0
1999,11,NA,NA
1999,12,NA,NA
2000,1,5,0
2000,2,NA,NA
2000,3,NA,NA
2000,4,139.413361666667,0
2000,5,NA,NA
2000,6,NA,NA
2000,7,808.073867666667,0
2000,8,NA,NA
2000,9,NA,NA
2000,10,174.706666666667,0
2000,11,NA,NA
2000,12,NA,NA
2001,1,2507.37333333333,0
2001,2,NA,NA
2001,3,NA,NA
2001,4,0,0
2001,5,NA,NA
2001,6,NA,NA
2001,7,550.571523,0
2001,8,NA,NA
2001,9,NA,NA
2001,10,NA,NA
2001,11,1026.89526666667,0
2001,12,NA,NA
2002,1,NA,NA
2002,2,2690.05,0
2002,3,NA,NA
2002,4,22.6666666666667,0
2002,5,NA,NA
2002,6,NA,NA
2002,7,567.866666666667,0
2002,8,NA,NA
2002,9,NA,NA
2002,10,NA,NA
2002,11,153.003333333333,0
2002,12,NA,NA
2003,1,NA,NA
2003,2,759.76,0
2003,3,NA,NA
2003,4,584.366666666667,0
2003,5,NA,NA
2003,6,NA,NA
2003,7,58.5566666666667,0
2003,8,NA,NA
2003,9,NA,NA
2003,10,5.21333333333333,0
2003,11,NA,NA
2003,12,NA,NA
2004,1,404,0
2004,2,NA,NA
2004,3,NA,NA
2004,4,46.7,0
2004,5,NA,NA
2004,6,NA,NA
2004,7,12.54,0
2004,8,NA,NA
2004,9,NA,NA
2004,10,NA,NA
2004,11,1.696,0
2004,12,NA,NA
2005,1,0,0.922
2005,2,NA,NA
2005,3,NA,NA
2005,4,5336.85802,2.1401516
2005,5,NA,NA
2005,6,NA,NA
2005,7,11.494,0
2005,8,NA,NA
2005,9,NA,NA
2005,10,NA,NA
2005,11,2.164,0
2005,12,NA,NA
2006,1,NA,NA
2006,2,0,0
2006,3,NA,NA
2006,4,664.52388,0
2006,5,NA,NA
2006,6,NA,NA
2006,7,38.85303,0
2006,8,NA,NA
2006,9,NA,NA
2006,10,NA,NA
2006,11,10.174,0
2006,12,NA,NA
2007,1,1.984,0
2007,2,NA,NA
2007,3,NA,NA
2007,4,21.88,5.47
2007,5,NA,NA
2007,6,NA,NA
2007,7,10.8625,0
2007,8,NA,NA
2007,9,NA,NA
2007,10,NA,NA
2007,11,0,0
2007,12,NA,NA
2008,1,1.71666666666667,0
2008,2,NA,NA
2008,3,NA,NA
2008,4,179.878623333333,0
2008,5,NA,NA
2008,6,NA,NA
2008,7,NA,NA
2008,8,512.70081,0
2008,9,NA,NA
2008,10,55.056,0
2008,11,NA,NA
2008,12,NA,NA
2009,1,214.424,0
2009,2,NA,NA
2009,3,2734.2469272,1497.02
2009,4,NA,NA
2009,5,NA,NA
2009,6,NA,NA
2009,7,107.736,0
2009,8,NA,NA
2009,9,NA,NA
2009,10,NA,NA
2009,11,63.566,0
2009,12,NA,NA
2010,1,373.986,0
2010,2,NA,NA
2010,3,NA,NA
2010,4,NA,NA
2010,5,4.3,0
2010,6,NA,NA
2010,7,NA,NA
2010,8,0,0
2010,9,NA,NA
2010,10,NA,NA
2010,11,384.326,0
2010,12,NA,NA
2011,1,10.14,0
2011,2,NA,NA
2011,3,NA,NA
2011,4,0.894,0.894
2011,5,NA,NA
2011,6,NA,NA
2011,7,NA,NA
2011,8,1.9875,0
2011,9,NA,NA
2011,10,35.7120076,0
2011,11,NA,NA
2011,12,NA,NA
2012,1,NA,NA
2012,2,178.846,12.556
2012,3,NA,NA
2012,4,0,0
2012,5,NA,NA
2012,6,NA,NA
2012,7,0,0
2012,8,NA,NA
2012,9,NA,NA
2012,10,67.145,0
2012,11,0,0
2012,12,NA,NA
2013,1,0,0
2013,2,NA,NA
2013,3,NA,NA
2013,4,11.538,0
2013,5,NA,NA
2013,6,NA,NA
2013,7,15.168,0
2013,8,NA,NA
2013,9,NA,NA
2013,10,NA,NA
2013,11,1573.36,0.7
2013,12,NA,NA
2014,1,NA,NA
2014,2,NA,NA
2014,3,NA,NA
2014,4,1668.57643,0.646666666666667
2014,5,NA,NA
2014,6,NA,NA
2014,7,15.216,199.998
2014,8,NA,NA
2014,9,NA,NA
2014,10,NA,NA
2014,11,271.36,0
2014,12,NA,NA
2015,1,1366.5,4.632
2015,2,NA,NA
2015,3,NA,NA
2015,4,79.424,0
2015,5,NA,NA
2015,6,NA,NA
2015,7,647.408,86.032
2015,8,NA,NA
2015,9,NA,NA
2015,10,NA,NA
2015,11,NA,NA
2015,12,NA,NA
2016,1,523.466,0
2016,2,NA,NA
2016,3,NA,NA
2016,4,3015.86194,0
2016,5,NA,NA
2016,6,NA,NA
2016,7,42.152,58.374
2016,8,NA,NA
2016,9,NA,NA
2016,10,NA,NA
2016,11,NA,NA
2016,12,NA,NA
2017,1,553.794,0
2017,2,NA,NA
2017,3,NA,NA
2017,4,221.17,1.7153846
2017,5,NA,NA
2017,6,NA,NA
2017,7,NA,NA
2017,8,NA,NA
2017,9,NA,NA
2017,10,NA,NA
2017,11,NA,NA
2017,12,NA,NA
2018,1,NA,NA
2018,2,2409.61524,0
2018,3,NA,NA
2018,4,102.2911764,0
2018,5,NA,NA
2018,6,NA,NA
2018,7,NA,NA
2018,8,NA,NA
2018,9,NA,NA
2018,10,NA,NA
2018,11,NA,NA
2018,12,NA,NA
