"year","month","anch_eggs_10m2","sard_eggs_10m2"
1975,7,450.746333333333,0
1975,8,NA,NA
1975,9,NA,NA
1975,10,82.637,0.46
1975,11,0,0
1975,12,81.3382608695652,0
1976,1,NA,NA
1976,2,NA,NA
1976,3,NA,NA
1976,4,NA,NA
1976,5,NA,NA
1976,6,NA,NA
1976,7,NA,NA
1976,8,NA,NA
1976,9,NA,NA
1976,10,NA,NA
1976,11,NA,NA
1976,12,NA,NA
1977,1,NA,NA
1977,2,NA,NA
1977,3,NA,NA
1977,4,NA,NA
1977,5,NA,NA
1977,6,NA,NA
1977,7,NA,NA
1977,8,NA,NA
1977,9,NA,NA
1977,10,NA,NA
1977,11,NA,NA
1977,12,118.320440684211,1.16595842105263
1978,1,133.946818196721,0
1978,2,403.519774909091,0.350011727272727
1978,3,346.435916236842,0
1978,4,779.84042693617,0
1978,5,87.5470514285714,0
1978,6,13.1423677307692,0
1978,7,5.71171025,0
1978,8,47.2152074363636,2.23517789090909
1978,9,NA,NA
1978,10,NA,NA
1978,11,NA,NA
1978,12,NA,NA
1979,1,242.820501459459,0
1979,2,511.445466695652,0
1979,3,256.093776294872,0
1979,4,949.1723154,0
1979,5,197.125536632653,0
1979,6,NA,NA
1979,7,NA,NA
1979,8,NA,NA
1979,9,NA,NA
1979,10,NA,NA
1979,11,NA,NA
1979,12,NA,NA
1980,1,NA,NA
1980,2,0,0
1980,3,156.502352192308,0
1980,4,191.670560057692,0
1980,5,20.3579807142857,0
1980,6,0,0
1980,7,NA,NA
1980,8,NA,NA
1980,9,NA,NA
1980,10,NA,NA
1980,11,0,0
1980,12,13.0573913043478,0
1981,1,116.914662941176,1.93176470588235
1981,2,299.046490322581,0
1981,3,134.85375,0
1981,4,208.040533083333,0
1981,5,68.1994507678571,0.699285714285714
1981,6,NA,NA
1981,7,5.71265335294118,11.3838510588235
1981,8,NA,NA
1981,9,NA,NA
1981,10,NA,NA
1981,11,NA,NA
1981,12,NA,NA
1982,1,16.95932725,0
1982,2,346.041765416667,0
1982,3,605.789409361702,0
1982,4,0,0
1982,5,NA,NA
1982,6,NA,NA
1982,7,NA,NA
1982,8,NA,NA
1982,9,NA,NA
1982,10,NA,NA
1982,11,NA,NA
1982,12,NA,NA
1983,1,60.5733333333333,0
1983,2,229.398090210526,1.75578947368421
1983,3,241.718933333333,0
1983,4,NA,NA
1983,5,5.15,0
1983,6,0,0
1983,7,0,4.74
1983,8,0,5.9625
1983,9,0,0
1983,10,0,0
1983,11,2.2,0
1983,12,7.22,0
